1,ïΩê¨27îNçëê®í≤ç∏Å@è¨ínàÊèWåvÅ@Åiëçñ±è»ìùåvã«Åj,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,ëÊ11ï\Å@éYã∆(ëÂï™óﬁÅjÅCíjèóï 15çŒà»è„èAã∆é“êî Å|í¨íöÅEéöìô,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,ëçêîÅiíjèóï Åj,,,,,,,,,,,,,,,,,,,,,,íj,,,,,,,,,,,,,,,,,,,,,,èó,,,,,,,,,,,,,,,,,,,,,
4,ésãÊí¨ë∫ÉRÅ[Éh,í¨íöéöÉRÅ[Éh,ínàÊéØï î‘çÜ,îÈìΩèàóù,îÈìΩêÊèÓïÒ,çáéZínàÊ,ìsìπï{åßñº,ésãÊí¨ë∫ñº,ëÂéöÅEí¨ñº,éöÅEíöñ⁄ñº,ëçêîÅiéYã∆ëÂï™óﬁÅj,Ç`Å@î_ã∆ÅCó—ã∆,Ç§Çøî_ã∆,ÇaÅ@ãôã∆,ÇbÅ@çzã∆ÅCçÃêŒã∆ÅCçªóòçÃéÊã∆,ÇcÅ@åöê›ã∆,ÇdÅ@êªë¢ã∆,ÇeÅ@ìdãCÅEÉKÉXÅEîMãüããÅEêÖìπã∆,ÇfÅ@èÓïÒí êMã∆,ÇgÅ@â^óAã∆ÅCóXï÷ã∆,ÇhÅ@âµîÑã∆ÅCè¨îÑã∆,ÇiÅ@ã‡óZã∆ÅCï€åØã∆,ÇjÅ@ïsìÆéYã∆ÅCï®ïií¿ë›ã∆,ÇkÅ@äwèpå§ãÜÅCêÍñÂÅEãZèpÉTÅ[ÉrÉXã∆,ÇlÅ@èhîëã∆ÅCà˘êHÉTÅ[ÉrÉXã∆,ÇmÅ@ê∂äàä÷òAÉTÅ[ÉrÉXã∆ÅCå‚äyã∆,ÇnÅ@ã≥àÁÅCäwèKéxâáã∆,ÇoÅ@à„ó√ÅCïüéÉ,ÇpÅ@ï°çáÉTÅ[ÉrÉXéñã∆,ÇqÅ@ÉTÅ[ÉrÉXã∆ÅiëºÇ…ï™óﬁÇ≥ÇÍÇ»Ç¢Ç‡ÇÃÅj,ÇrÅ@åˆñ±ÅiëºÇ…ï™óﬁÇ≥ÇÍÇÈÇ‡ÇÃÇèúÇ≠Åj,ÇsÅ@ï™óﬁïsî\ÇÃéYã∆,ëçêîÅiéYã∆ëÂï™óﬁÅj,Ç`Å@î_ã∆ÅCó—ã∆,Ç§Çøî_ã∆,ÇaÅ@ãôã∆,ÇbÅ@çzã∆ÅCçÃêŒã∆ÅCçªóòçÃéÊã∆,ÇcÅ@åöê›ã∆,ÇdÅ@êªë¢ã∆,ÇeÅ@ìdãCÅEÉKÉXÅEîMãüããÅEêÖìπã∆,ÇfÅ@èÓïÒí êMã∆,ÇgÅ@â^óAã∆ÅCóXï÷ã∆,ÇhÅ@âµîÑã∆ÅCè¨îÑã∆,ÇiÅ@ã‡óZã∆ÅCï€åØã∆,ÇjÅ@ïsìÆéYã∆ÅCï®ïií¿ë›ã∆,ÇkÅ@äwèpå§ãÜÅCêÍñÂÅEãZèpÉTÅ[ÉrÉXã∆,ÇlÅ@èhîëã∆ÅCà˘êHÉTÅ[ÉrÉXã∆,ÇmÅ@ê∂äàä÷òAÉTÅ[ÉrÉXã∆ÅCå‚äyã∆,ÇnÅ@ã≥àÁÅCäwèKéxâáã∆,ÇoÅ@à„ó√ÅCïüéÉ,ÇpÅ@ï°çáÉTÅ[ÉrÉXéñã∆,ÇqÅ@ÉTÅ[ÉrÉXã∆ÅiëºÇ…ï™óﬁÇ≥ÇÍÇ»Ç¢Ç‡ÇÃÅj,ÇrÅ@åˆñ±ÅiëºÇ…ï™óﬁÇ≥ÇÍÇÈÇ‡ÇÃÇèúÇ≠Åj,ÇsÅ@ï™óﬁïsî\ÇÃéYã∆,ëçêîÅiéYã∆ëÂï™óﬁÅj,Ç`Å@î_ã∆ÅCó—ã∆,Ç§Çøî_ã∆,ÇaÅ@ãôã∆,ÇbÅ@çzã∆ÅCçÃêŒã∆ÅCçªóòçÃéÊã∆,ÇcÅ@åöê›ã∆,ÇdÅ@êªë¢ã∆,ÇeÅ@ìdãCÅEÉKÉXÅEîMãüããÅEêÖìπã∆,ÇfÅ@èÓïÒí êMã∆,ÇgÅ@â^óAã∆ÅCóXï÷ã∆,ÇhÅ@âµîÑã∆ÅCè¨îÑã∆,ÇiÅ@ã‡óZã∆ÅCï€åØã∆,ÇjÅ@ïsìÆéYã∆ÅCï®ïií¿ë›ã∆,ÇkÅ@äwèpå§ãÜÅCêÍñÂÅEãZèpÉTÅ[ÉrÉXã∆,ÇlÅ@èhîëã∆ÅCà˘êHÉTÅ[ÉrÉXã∆,ÇmÅ@ê∂äàä÷òAÉTÅ[ÉrÉXã∆ÅCå‚äyã∆,ÇnÅ@ã≥àÁÅCäwèKéxâáã∆,ÇoÅ@à„ó√ÅCïüéÉ,ÇpÅ@ï°çáÉTÅ[ÉrÉXéñã∆,ÇqÅ@ÉTÅ[ÉrÉXã∆ÅiëºÇ…ï™óﬁÇ≥ÇÍÇ»Ç¢Ç‡ÇÃÅj,ÇrÅ@åˆñ±ÅiëºÇ…ï™óﬁÇ≥ÇÍÇÈÇ‡ÇÃÇèúÇ≠Åj,ÇsÅ@ï™óﬁïsî\ÇÃéYã∆
52,"25201","0420","2","","","","é†âÍåß","ëÂí√és","ñ{åòìc","",4370,36,35,65,-,275,639,20,73,174,814,106,94,166,261,179,229,559,40,261,171,208,2431,26,25,37,-,224,470,19,58,151,375,40,59,105,101,73,106,153,26,168,125,115,1939,10,10,28,-,51,169,1,15,23,439,66,35,61,160,106,123,406,14,93,46,93
53,"25201","042001","3","","","","é†âÍåß","ëÂí√és","ñ{åòìc","ÇPíöñ⁄",569,11,10,-,-,53,79,1,7,30,122,8,13,19,47,20,17,57,6,46,2,31,300,7,6,-,-,42,54,1,7,26,48,4,9,14,10,5,9,13,5,29,1,16,269,4,4,-,-,11,25,-,-,4,74,4,4,5,37,15,8,44,1,17,1,15
54,"25201","042002","3","","","","é†âÍåß","ëÂí√és","ñ{åòìc","ÇQíöñ⁄",632,8,8,61,-,38,91,4,7,34,114,9,17,16,44,22,34,63,5,30,15,20,355,5,5,35,-,34,65,4,6,29,54,5,8,11,21,9,12,13,3,19,12,10,277,3,3,26,-,4,26,-,1,5,60,4,9,5,23,13,22,50,2,11,3,10
55,"25201","042003","3","","","","é†âÍåß","ëÂí√és","ñ{åòìc","ÇRíöñ⁄",795,6,6,2,-,59,115,3,14,26,157,23,15,31,44,40,35,100,7,50,27,41,436,6,6,1,-,50,83,3,10,22,75,7,9,20,21,12,14,26,3,31,17,26,359,-,-,1,-,9,32,-,4,4,82,16,6,11,23,28,21,74,4,19,10,15
56,"25201","042004","3","","","","é†âÍåß","ëÂí√és","ñ{åòìc","ÇSíöñ⁄",1083,9,9,2,-,54,168,5,31,43,181,25,27,51,55,52,75,132,10,63,50,50,614,7,7,1,-,38,127,4,23,36,83,13,16,35,19,25,36,41,7,39,38,26,469,2,2,1,-,16,41,1,8,7,98,12,11,16,36,27,39,91,3,24,12,24
57,"25201","042005","3","","","","é†âÍåß","ëÂí√és","ñ{åòìc","ÇTíöñ⁄",499,-,-,-,-,33,69,3,4,9,110,13,10,23,29,19,22,78,5,28,17,27,277,-,-,-,-,27,55,3,4,9,51,2,7,11,11,10,8,28,2,20,12,17,222,-,-,-,-,6,14,-,-,-,59,11,3,12,18,9,14,50,3,8,5,10
58,"25201","042006","3","","","","é†âÍåß","ëÂí√és","ñ{åòìc","ÇUíöñ⁄",792,2,2,-,-,38,117,4,10,32,130,28,12,26,42,26,46,129,7,44,60,39,449,1,1,-,-,33,86,4,8,29,64,9,10,14,19,12,27,32,6,30,45,20,343,1,1,-,-,5,31,-,2,3,66,19,2,12,23,14,19,97,1,14,15,19
59,"25201","0480","2","","","","é†âÍåß","ëÂí√és","àﬂêÏ","",1320,16,16,-,-,117,183,3,19,49,198,31,30,53,104,54,65,181,9,95,37,76,759,7,7,-,-,109,138,3,14,41,94,10,23,35,41,25,32,53,4,67,30,33,561,9,9,-,-,8,45,-,5,8,104,21,7,18,63,29,33,128,5,28,7,43
60,"25201","048001","3","","","","é†âÍåß","ëÂí√és","àﬂêÏ","ÇPíöñ⁄",676,11,11,-,-,62,100,1,6,25,116,15,15,23,64,29,21,83,5,55,11,34,383,6,6,-,-,56,75,1,4,20,52,5,11,18,28,14,9,23,2,36,7,16,293,5,5,-,-,6,25,-,2,5,64,10,4,5,36,15,12,60,3,19,4,18
61,"25201","048002","3","","","","é†âÍåß","ëÂí√és","àﬂêÏ","ÇQíöñ⁄",463,3,3,-,-,34,64,2,10,17,58,12,12,25,21,10,42,78,4,28,9,34,270,-,-,-,-,32,50,2,8,14,32,4,10,15,6,6,22,26,2,19,7,15,193,3,3,-,-,2,14,-,2,3,26,8,2,10,15,4,20,52,2,9,2,19
62,"25201","048003","3","","","","é†âÍåß","ëÂí√és","àﬂêÏ","ÇRíöñ⁄",181,2,2,-,-,21,19,-,3,7,24,4,3,5,19,15,2,20,-,12,17,8,106,1,1,-,-,21,13,-,2,7,10,1,2,2,7,5,1,4,-,12,16,2,75,1,1,-,-,-,6,-,1,-,14,3,1,3,12,10,1,16,-,-,1,6
63,"25201","0510","2","","","","é†âÍåß","ëÂí√és","ç°åòìc","",2089,20,20,5,-,136,312,8,34,96,375,49,41,52,157,93,112,258,14,124,75,128,1165,14,14,3,-,116,236,8,23,82,163,25,27,35,66,43,51,69,7,70,54,73,924,6,6,2,-,20,76,-,11,14,212,24,14,17,91,50,61,189,7,54,21,55
64,"25201","051001","3","","","","é†âÍåß","ëÂí√és","ç°åòìc","ÇPíöñ⁄",260,13,13,-,-,11,44,1,2,12,49,4,8,2,19,13,8,28,2,13,12,19,144,8,8,-,-,10,36,1,2,9,26,1,5,1,9,3,2,4,1,6,10,10,116,5,5,-,-,1,8,-,-,3,23,3,3,1,10,10,6,24,1,7,2,9
65,"25201","051002","3","","","","é†âÍåß","ëÂí√és","ç°åòìc","ÇQíöñ⁄",1471,6,6,4,-,99,219,6,26,69,255,36,30,42,112,59,84,180,11,88,57,88,816,5,5,2,-,86,161,6,17,58,103,18,19,28,46,31,37,52,6,51,40,50,655,1,1,2,-,13,58,-,9,11,152,18,11,14,66,28,47,128,5,37,17,38
66,"25201","051003","3","","","","é†âÍåß","ëÂí√és","ç°åòìc","ÇRíöñ⁄",358,1,1,1,-,26,49,1,6,15,71,9,3,8,26,21,20,50,1,23,6,21,205,1,1,1,-,20,39,1,4,15,34,6,3,6,11,9,12,13,-,13,4,13,153,-,-,-,-,6,10,-,2,-,37,3,-,2,15,12,8,37,1,10,2,8
67,"25201","0541","2","","","","é†âÍåß","ëÂí√és","ã¬ñÿí¨","",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
68,"25201","0542","2","","","","é†âÍåß","ëÂí√és","ã¬ñÿ","",1006,86,83,-,-,89,109,5,7,39,145,22,11,28,62,34,50,107,12,71,39,90,550,57,55,-,-,72,74,3,6,33,69,12,7,15,15,14,19,24,8,46,23,53,456,29,28,-,-,17,35,2,1,6,76,10,4,13,47,20,31,83,4,25,16,37
69,"25201","054201","3","","","","é†âÍåß","ëÂí√és","ã¬ñÿ","ÇPíöñ⁄",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
70,"25201","054202","3","","","","é†âÍåß","ëÂí√és","ã¬ñÿ","ÇQíöñ⁄",420,50,49,-,-,30,36,1,5,24,56,10,5,13,27,14,23,42,5,23,18,38,238,35,34,-,-,29,27,1,4,20,26,5,3,7,9,4,8,9,3,17,10,21,182,15,15,-,-,1,9,-,1,4,30,5,2,6,18,10,15,33,2,6,8,17
71,"25201","054203","3","","","","é†âÍåß","ëÂí√és","ã¬ñÿ","ÇRíöñ⁄",80,2,1,-,-,16,5,-,1,4,15,-,2,2,8,-,2,9,1,4,4,5,42,-,-,-,-,12,3,-,1,3,8,-,2,1,1,-,-,2,1,2,2,4,38,2,1,-,-,4,2,-,-,1,7,-,-,1,7,-,2,7,-,2,2,1
72,"25201","054204","3","","","","é†âÍåß","ëÂí√és","ã¬ñÿ","ÇSíöñ⁄",170,12,12,-,-,12,19,-,-,5,23,4,2,4,9,6,11,24,2,18,5,14,90,8,8,-,-,9,11,-,-,4,14,1,2,2,-,3,6,5,1,12,4,8,80,4,4,-,-,3,8,-,-,1,9,3,-,2,9,3,5,19,1,6,1,6
73,"25201","054205","3","","","","é†âÍåß","ëÂí√és","ã¬ñÿ","ÇTíöñ⁄",136,8,8,-,-,12,14,2,-,2,16,4,-,1,13,3,7,14,2,14,3,21,74,5,5,-,-,8,9,1,-,2,7,3,-,1,4,1,2,5,2,9,2,13,62,3,3,-,-,4,5,1,-,-,9,1,-,-,9,2,5,9,-,5,1,8
74,"25201","054206","3","","","","é†âÍåß","ëÂí√és","ã¬ñÿ","ÇUíöñ⁄",163,12,11,-,-,17,26,2,1,4,29,4,2,8,3,5,7,16,2,9,7,9,86,8,7,-,-,12,18,1,1,4,12,3,-,4,-,3,3,3,1,4,4,5,77,4,4,-,-,5,8,1,-,-,17,1,2,4,3,2,4,13,1,5,3,4
75,"25201","054207","3","","","","é†âÍåß","ëÂí√és","ã¬ñÿ","ÇVíöñ⁄",37,2,2,-,-,2,9,-,-,-,6,-,-,-,2,6,-,2,-,3,2,3,20,1,1,-,-,2,6,-,-,-,2,-,-,-,1,3,-,-,-,2,1,2,17,1,1,-,-,-,3,-,-,-,4,-,-,-,1,3,-,2,-,1,1,1
76,"25201","0551","2","","","","é†âÍåß","ëÂí√és","óYã’ñk","",1086,5,5,1,-,49,171,16,28,35,150,37,19,49,62,37,102,146,7,57,69,46,607,2,2,1,-,40,136,16,19,29,73,19,8,34,16,18,43,39,4,35,51,24,479,3,3,-,-,9,35,-,9,6,77,18,11,15,46,19,59,107,3,22,18,22
77,"25201","055101","3","","","","é†âÍåß","ëÂí√és","óYã’ñk","ÇPíöñ⁄",394,2,2,-,-,19,60,4,8,18,51,10,8,20,19,20,37,62,3,21,21,11,223,1,1,-,-,15,48,4,4,15,26,3,4,13,5,8,13,26,2,11,18,7,171,1,1,-,-,4,12,-,4,3,25,7,4,7,14,12,24,36,1,10,3,4
78,"25201","055102","3","","","","é†âÍåß","ëÂí√és","óYã’ñk","ÇQíöñ⁄",692,3,3,1,-,30,111,12,20,17,99,27,11,29,43,17,65,84,4,36,48,35,384,1,1,1,-,25,88,12,15,14,47,16,4,21,11,10,30,13,2,24,33,17,308,2,2,-,-,5,23,-,5,3,52,11,7,8,32,7,35,71,2,12,15,18
79,"25201","0552","2","","","","é†âÍåß","ëÂí√és","óYã’","",1726,31,31,1,-,131,242,6,37,77,272,31,30,52,210,68,78,222,7,89,42,100,989,23,23,1,-,110,185,6,29,66,142,15,12,31,95,24,33,70,4,56,31,56,737,8,8,-,-,21,57,-,8,11,130,16,18,21,115,44,45,152,3,33,11,44
80,"25201","055201","3","","","","é†âÍåß","ëÂí√és","óYã’","ÇPíöñ⁄",151,1,1,-,-,14,22,-,5,3,29,1,3,7,17,9,3,14,-,3,3,17,80,1,1,-,-,11,15,-,3,3,15,1,3,3,8,2,-,4,-,2,2,7,71,-,-,-,-,3,7,-,2,-,14,-,-,4,9,7,3,10,-,1,1,10
81,"25201","055202","3","","","","é†âÍåß","ëÂí√és","óYã’","ÇQíöñ⁄",180,19,19,-,-,11,26,-,1,7,26,4,1,1,9,4,7,24,2,18,6,14,113,12,12,-,-,9,17,-,1,7,19,-,1,-,2,1,3,12,1,12,5,11,67,7,7,-,-,2,9,-,-,-,7,4,-,1,7,3,4,12,1,6,1,3
82,"25201","055203","3","","","","é†âÍåß","ëÂí√és","óYã’","ÇRíöñ⁄",463,2,2,1,-,32,69,3,16,15,66,10,8,24,39,17,32,64,2,20,23,20,272,1,1,1,-,27,58,3,12,11,34,4,3,14,20,7,13,21,2,11,19,11,191,1,1,-,-,5,11,-,4,4,32,6,5,10,19,10,19,43,-,9,4,9
83,"25201","055204","3","","","","é†âÍåß","ëÂí√és","óYã’","ÇSíöñ⁄",67,1,1,-,-,2,14,-,1,3,11,3,2,-,7,2,-,14,-,2,1,4,40,1,1,-,-,2,13,-,1,2,2,1,1,-,3,1,-,7,-,2,1,3,27,-,-,-,-,-,1,-,-,1,9,2,1,-,4,1,-,7,-,-,-,1
84,"25201","055205","3","","","","é†âÍåß","ëÂí√és","óYã’","ÇTíöñ⁄",326,3,3,-,-,19,48,-,6,22,56,9,6,9,36,16,23,40,1,20,3,9,183,3,3,-,-,17,38,-,6,19,28,7,1,5,13,6,10,8,-,13,2,7,143,-,-,-,-,2,10,-,-,3,28,2,5,4,23,10,13,32,1,7,1,2
85,"25201","055206","3","","","","é†âÍåß","ëÂí√és","óYã’","ÇUíöñ⁄",539,5,5,-,-,53,63,3,8,27,84,4,10,11,102,20,13,66,2,26,6,36,301,5,5,-,-,44,44,3,6,24,44,2,3,9,49,7,7,18,1,16,2,17,238,-,-,-,-,9,19,-,2,3,40,2,7,2,53,13,6,48,1,10,4,19
86,"25201","0610","2","","","","é†âÍåß","ëÂí√és","êÁñÏ","",156,15,13,-,-,19,15,2,1,6,22,2,1,5,11,7,5,17,2,9,9,8,98,13,11,-,-,16,8,2,-,6,10,2,1,5,5,5,3,2,2,7,8,3,58,2,2,-,-,3,7,-,1,-,12,-,-,-,6,2,2,15,-,2,1,5
87,"25201","061001","3","","","","é†âÍåß","ëÂí√és","êÁñÏ","ÇPíöñ⁄",106,8,8,-,-,11,11,2,1,6,19,2,1,2,5,6,2,12,1,6,7,4,67,7,7,-,-,11,6,2,-,6,9,2,1,2,1,4,1,1,1,5,7,1,39,1,1,-,-,-,5,-,1,-,10,-,-,-,4,2,1,11,-,1,-,3
88,"25201","061002","3","","","","é†âÍåß","ëÂí√és","êÁñÏ","ÇQíöñ⁄",27,5,3,-,-,5,4,-,-,-,3,-,-,1,3,1,-,3,-,2,-,-,18,5,3,-,-,3,2,-,-,-,1,-,-,1,2,1,-,1,-,2,-,-,9,-,-,-,-,2,2,-,-,-,2,-,-,-,1,-,-,2,-,-,-,-
89,"25201","061003","3","","","","é†âÍåß","ëÂí√és","êÁñÏ","ÇRíöñ⁄",23,2,2,-,-,3,-,-,-,-,-,-,-,2,3,-,3,2,1,1,2,4,13,1,1,-,-,2,-,-,-,-,-,-,-,2,2,-,2,-,1,-,1,2,10,1,1,-,-,1,-,-,-,-,-,-,-,-,1,-,1,2,-,1,1,2
90,"25201","0640","2","","","","é†âÍåß","ëÂí√és","ïcé≠","",583,13,13,-,-,56,71,-,9,32,67,13,8,7,82,51,11,70,1,36,8,48,330,10,10,-,-,50,54,-,6,25,32,4,6,-,29,38,4,27,-,15,6,24,253,3,3,-,-,6,17,-,3,7,35,9,2,7,53,13,7,43,1,21,2,24
91,"25201","064001","3","","","","é†âÍåß","ëÂí√és","ïcé≠","ÇPíöñ⁄",95,6,6,-,-,11,9,-,1,7,12,1,2,1,5,6,1,13,-,8,2,10,52,4,4,-,-,10,6,-,-,4,4,1,2,-,1,3,1,5,-,4,2,5,43,2,2,-,-,1,3,-,1,3,8,-,-,1,4,3,-,8,-,4,-,5
92,"25201","064002","3","","","","é†âÍåß","ëÂí√és","ïcé≠","ÇQíöñ⁄",438,7,7,-,-,44,60,-,8,21,55,12,6,6,69,22,9,56,1,24,5,33,239,6,6,-,-,39,47,-,6,18,28,3,4,-,21,15,2,22,-,7,4,17,199,1,1,-,-,5,13,-,2,3,27,9,2,6,48,7,7,34,1,17,1,16
93,"25201","064003","3","","","","é†âÍåß","ëÂí√és","ïcé≠","ÇRíöñ⁄",50,-,-,-,-,1,2,-,-,4,-,-,-,-,8,23,1,1,-,4,1,5,39,-,-,-,-,1,1,-,-,3,-,-,-,-,7,20,1,-,-,4,-,2,11,-,-,-,-,-,1,-,-,1,-,-,-,-,1,3,-,1,-,-,1,3
94,"25201","0670","2","","","","é†âÍåß","ëÂí√és","ì˙ãgë‰","",1389,7,7,-,-,60,183,8,42,48,227,41,25,83,88,55,138,190,7,98,42,47,763,5,5,-,-,50,126,6,28,40,102,20,15,55,41,23,78,56,4,66,24,24,626,2,2,-,-,10,57,2,14,8,125,21,10,28,47,32,60,134,3,32,18,23
95,"25201","067001","3","","","","é†âÍåß","ëÂí√és","ì˙ãgë‰","ÇPíöñ⁄",345,1,1,-,-,20,41,-,9,10,61,6,9,14,28,11,28,50,3,28,12,14,183,-,-,-,-,19,22,-,6,8,30,5,6,9,13,2,14,18,2,16,7,6,162,1,1,-,-,1,19,-,3,2,31,1,3,5,15,9,14,32,1,12,5,8
96,"25201","067002","3","","","","é†âÍåß","ëÂí√és","ì˙ãgë‰","ÇQíöñ⁄",344,1,1,-,-,11,50,-,13,10,64,10,6,25,19,14,35,50,3,18,7,8,187,1,1,-,-,8,38,-,9,10,29,4,2,14,10,7,20,14,2,11,4,4,157,-,-,-,-,3,12,-,4,-,35,6,4,11,9,7,15,36,1,7,3,4
97,"25201","067003","3","","","","é†âÍåß","ëÂí√és","ì˙ãgë‰","ÇRíöñ⁄",368,3,3,-,-,19,43,3,10,17,51,17,6,19,16,18,47,44,1,30,13,11,208,2,2,-,-,13,32,2,6,13,20,7,4,15,6,8,27,15,-,25,7,6,160,1,1,-,-,6,11,1,4,4,31,10,2,4,10,10,20,29,1,5,6,5
98,"25201","067004","3","","","","é†âÍåß","ëÂí√és","ì˙ãgë‰","ÇSíöñ⁄",332,2,2,-,-,10,49,5,10,11,51,8,4,25,25,12,28,46,-,22,10,14,185,2,2,-,-,10,34,4,7,9,23,4,3,17,12,6,17,9,-,14,6,8,147,-,-,-,-,-,15,1,3,2,28,4,1,8,13,6,11,37,-,8,4,6
99,"25201","0710","2","","","","é†âÍåß","ëÂí√és","ç‚ñ{ñ{í¨","",12,1,1,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,8,-,-,11,1,1,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,8,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-
100,"25201","0720","2","","","","é†âÍåß","ëÂí√és","ç‚ñ{","",4198,45,44,1,1,477,433,22,65,176,646,100,59,158,296,145,216,596,21,352,130,259,2352,38,37,1,1,394,328,19,43,151,310,43,39,92,118,58,96,145,14,231,86,145,1846,7,7,-,-,83,105,3,22,25,336,57,20,66,178,87,120,451,7,121,44,114
101,"25201","072001","3","","","","é†âÍåß","ëÂí√és","ç‚ñ{","ÇPíöñ⁄",482,9,9,-,-,57,40,1,9,17,79,11,12,21,38,18,35,67,1,40,9,18,273,7,7,-,-,48,30,-,6,16,41,5,9,13,15,7,20,15,1,26,3,11,209,2,2,-,-,9,10,1,3,1,38,6,3,8,23,11,15,52,-,14,6,7
102,"25201","072002","3","","","","é†âÍåß","ëÂí√és","ç‚ñ{","ÇQíöñ⁄",532,10,10,-,-,52,56,7,5,29,83,18,9,25,34,20,22,79,3,27,23,30,289,8,8,-,-,37,48,6,3,23,42,5,5,15,13,5,12,20,-,15,17,15,243,2,2,-,-,15,8,1,2,6,41,13,4,10,21,15,10,59,3,12,6,15
103,"25201","072003","3","","","","é†âÍåß","ëÂí√és","ç‚ñ{","ÇRíöñ⁄",966,7,7,-,-,84,112,2,17,37,165,29,9,35,56,35,54,138,5,76,46,59,528,6,6,-,-,65,84,2,12,33,82,13,7,20,26,16,20,33,4,44,30,31,438,1,1,-,-,19,28,-,5,4,83,16,2,15,30,19,34,105,1,32,16,28
104,"25201","072004","3","","","","é†âÍåß","ëÂí√és","ç‚ñ{","ÇSíöñ⁄",241,2,2,-,-,14,16,-,4,3,47,5,4,7,24,7,15,25,1,42,7,18,137,2,2,-,-,11,12,-,3,2,23,1,2,3,12,4,7,9,-,33,6,7,104,-,-,-,-,3,4,-,1,1,24,4,2,4,12,3,8,16,1,9,1,11
105,"25201","072005","3","","","","é†âÍåß","ëÂí√és","ç‚ñ{","ÇTíöñ⁄",232,6,6,-,1,24,16,-,1,7,37,5,4,14,18,4,10,20,2,44,5,14,143,6,6,-,1,20,12,-,1,6,17,1,3,10,6,3,5,2,2,36,4,8,89,-,-,-,-,4,4,-,-,1,20,4,1,4,12,1,5,18,-,8,1,6
106,"25201","072006","3","","","","é†âÍåß","ëÂí√és","ç‚ñ{","ÇUíöñ⁄",642,3,3,-,-,109,67,4,10,34,83,13,9,13,45,21,36,92,8,38,9,48,373,2,2,-,-,97,47,3,5,28,37,8,7,9,14,8,15,26,6,24,5,32,269,1,1,-,-,12,20,1,5,6,46,5,2,4,31,13,21,66,2,14,4,16
107,"25201","072007","3","","","","é†âÍåß","ëÂí√és","ç‚ñ{","ÇVíöñ⁄",740,7,6,1,-,87,76,3,14,38,107,12,9,25,58,30,30,114,1,53,22,53,409,7,6,1,-,72,58,3,10,32,47,8,5,14,21,11,12,30,1,33,15,29,331,-,-,-,-,15,18,-,4,6,60,4,4,11,37,19,18,84,-,20,7,24
108,"25201","072008","3","","","","é†âÍåß","ëÂí√és","ç‚ñ{","ÇWíöñ⁄",363,1,1,-,-,50,50,5,5,11,45,7,3,18,23,10,14,61,-,32,9,19,200,-,-,-,-,44,37,5,3,11,21,2,1,8,11,4,5,10,-,20,6,12,163,1,1,-,-,6,13,-,2,-,24,5,2,10,12,6,9,51,-,12,3,7
109,"25201","0800","2","","","","é†âÍåß","ëÂí√és","ñÿÇÃâ™í¨","",401,1,1,-,-,38,57,-,8,8,59,11,5,20,28,13,41,56,1,28,10,17,213,1,1,-,-,29,42,-,6,8,27,1,5,13,9,5,20,14,1,15,7,10,188,-,-,-,-,9,15,-,2,-,32,10,-,7,19,8,21,42,-,13,3,7
110,"25201","0810","2","","","","é†âÍåß","ëÂí√és","â∫ç„ñ{","",3422,33,33,-,-,284,471,34,60,136,545,109,54,113,259,100,177,460,22,227,164,174,1947,22,22,-,-,241,366,28,47,114,262,59,33,71,91,48,67,124,15,145,111,103,1475,11,11,-,-,43,105,6,13,22,283,50,21,42,168,52,110,336,7,82,53,71
111,"25201","081001","3","","","","é†âÍåß","ëÂí√és","â∫ç„ñ{","ÇPíöñ⁄",530,10,10,-,-,44,83,4,8,21,84,15,14,19,35,16,31,65,4,25,14,38,298,7,7,-,-,35,63,4,7,20,37,7,8,11,10,6,11,19,2,19,11,21,232,3,3,-,-,9,20,-,1,1,47,8,6,8,25,10,20,46,2,6,3,17
112,"25201","081002","3","","","","é†âÍåß","ëÂí√és","â∫ç„ñ{","ÇQíöñ⁄",542,9,9,-,-,61,78,4,7,18,86,14,8,20,48,19,15,73,2,31,19,30,318,5,5,-,-,53,61,3,5,15,46,6,8,15,22,10,6,14,2,16,13,18,224,4,4,-,-,8,17,1,2,3,40,8,-,5,26,9,9,59,-,15,6,12
